dtstart,dtend,uid,location,Matiere,Enseignants,Type,Memo,Formation
2024-01-12T12:00:00Z,2024-01-12T15:00:00Z,Cours-40488-29-M1-ILSEN-cla-Gr1-Index-Education,"Stat 1 = Info - C 137, Stat 2 = Info - C 136",UCE 4 APPLICATION DE CONCEPTI,ROUVIER Mickael,TP,,ILSEN-CLA
2023-11-21T09:00:00Z,2023-11-21T12:00:00Z,Cours-40496-22-M1-ILSEN-cla-Gr1-Index-Education,"Stat 6 = Info - C 129, Stat 7 = Info - C 128",UCE 4 APPLICATION DE CONCEPTI,ROUVIER Mickael,TP,,ILSEN-CLA
2023-10-11T14:00:00Z,2023-10-11T17:00:00Z,Cours-40501-16-M1-ILSEN-cla-Gr1-Index-Education,Stat9 = Info - C 026,UCE 1 DESIGN PATTERN AVANCE,NABITZ Sophie,TP,,ILSEN-CLA
2023-09-27T06:30:00Z,2023-09-27T09:30:00Z,Cours-40506-14-M1-ILSEN-cla-Gr1-Index-Education,Stat 4 = Info - C 131,UCE 3 URBANISATION,LABRAK Yanis,TP,,ILSEN-CLA
2023-11-10T15:00:00Z,2023-11-10T18:00:00Z,Cours-40509-20-M1-ILSEN-cla-Gr1-Index-Education,Stat9 = Info - C 026,UCE 3 URBANISATION,LABRAK Yanis,TP,,ILSEN-CLA
2023-11-17T09:00:00Z,2023-11-17T12:00:00Z,Cours-40519-21-M1-ILSEN-cla-Gr1-Index-Education,Stat9 = Info - C 026,UCE 3 URBANISATION,LABRAK Yanis,TP,,ILSEN-CLA
2023-09-27T11:00:00Z,2023-09-27T12:30:00Z,Cours-41766-14-M1-ILSEN-cla-Gr1-Index-Education,S3 = C 036,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,TP,,ILSEN-CLA
2023-11-23T15:00:00Z,2023-11-23T18:00:00Z,Cours-42527-22-M1-ILSEN-cla-Gr1-Index-Education,CISCO = C 133 reseaux,UCE 1 ARCHITECTURES CLOUD ET,NABITZ Sophie,TP,,ILSEN-CLA
2023-11-30T15:00:00Z,2023-11-30T18:00:00Z,Cours-42527-23-M1-ILSEN-cla-Gr1-Index-Education,CISCO = C 133 reseaux,UCE 1 ARCHITECTURES CLOUD ET,NABITZ Sophie,TP,,ILSEN-CLA
2023-11-16T15:00:00Z,2023-11-16T18:00:00Z,Cours-44246-21-M1-ILSEN-cla-Gr1-Index-Education,Stat9 = Info - C 026,UCE 1 DESIGN PATTERN AVANCE,NABITZ Sophie,TP,,ILSEN-CLA
2024-01-10T13:30:00Z,2024-01-10T17:30:00Z,Cours-44776-29-M1-ILSEN-cla-Gr1-Index-Education,"AGRB020 ( HDMI ), AGRB021 ( HDMI ), AGRB022 ( HDMI ), AGRB023 ( HDMI )",UCE 1 PROJET,"BENSLIMANE Abderrahim, BONASTRE Jean-Francois, FIGUEIREDO Rosa, FREDOUILLE Corinne, GOZLAN Philippe, HADDAD Majed, HAYEL Yezekael, HUET Stephane, JIMENEZ Tania, JOURLIN Pierre, LEFEVRE Fabrice, MORCHID Mohamed, NOCERA Pascal, PUY CAZCARRA Emmanuel, TORRES MORENO Juan manuel, VERNET Mathilde",CM/TD,SOUTENANCE,ILSEN-CLA
2024-06-19T06:30:00Z,2024-06-19T16:00:00Z,Cours-46766-52-M1-ILSEN-cla-Gr1-Index-Education,"S2 = C 040, S3 = C 036, S4 = C 034, S7 = C 032",UE PROJET 2,"BENSLIMANE Abderrahim, BONASTRE Jean-Francois, FIGUEIREDO Rosa, FREDOUILLE Corinne, GOZLAN Philippe, HADDAD Majed, HAYEL Yezekael, HUET Stephane, JIMENEZ Tania, JOURLIN Pierre, LEFEVRE Fabrice, MORCHID Mohamed, NOCERA Pascal, PUY CAZCARRA Emmanuel, TORRES MORENO Juan manuel, VERNET Mathilde",Oraux,Soutenances de projet Master CERI,ILSEN-CLA
2024-03-20T16:30:00Z,2024-03-20T18:00:00Z,Cours-74215-39-M1-ILSEN-cla-Gr1-Index-Education,Stat 4 = Info - C 131,UCE 4 APPLICATION ARCHITECTUR,MORCHID Mohamed,TP,,ILSEN-CLA
2024-03-22T08:00:00Z,2024-03-22T12:00:00Z,Cours-53238-39-M1-ILSEN-cla-Gr1-Index-Education,S5 = C 024,UE PROJET 2,"HADDAD Majed, VERNET Mathilde",CM/TD,1ere rencontre,ILSEN-CLA
2024-02-05T07:30:00Z,2024-02-05T10:30:00Z,Cours-53277-33-M1-ILSEN-cla-Gr1-Index-Education,S4 = C 034,UCE 1 TECHNIQUES DE TEST,FERREIRA Emmanuel,CM,,ILSEN-CLA
2024-02-06T15:00:00Z,2024-02-06T18:00:00Z,Cours-53299-33-M1-ILSEN-cla-Gr1-Index-Education,Stat 7 = Info - C 128,UCE 1 TECHNIQUES DE TEST,SALAS Daniel,TP,,ILSEN-CLA
2024-04-08T06:30:00Z,2024-04-08T08:00:00Z,Cours-53314-42-M1-ILSEN-cla-Gr1-Index-Education,Stat 4 = Info - C 131,UCE 1 TECHNIQUES DE TEST,SALAS Daniel,TP,,ILSEN-CLA
2024-02-12T07:30:00Z,2024-02-12T10:30:00Z,Cours-53317-34-M1-ILSEN-cla-Gr1-Index-Education,Stat 8 = Info - C 127,UCE 1 TECHNIQUES DE TEST,SALAS Daniel,TP,,ILSEN-CLA
2024-03-04T07:30:00Z,2024-03-04T10:30:00Z,Cours-53317-37-M1-ILSEN-cla-Gr1-Index-Education,Stat 6 = Info - C 129,UCE 1 TECHNIQUES DE TEST,SALAS Daniel,TP,,ILSEN-CLA
2024-03-11T07:30:00Z,2024-03-11T10:30:00Z,Cours-53317-38-M1-ILSEN-cla-Gr1-Index-Education,Stat 7 = Info - C 128,UCE 1 TECHNIQUES DE TEST,SALAS Daniel,TP,,ILSEN-CLA
2024-03-18T07:30:00Z,2024-03-18T10:30:00Z,Cours-53317-39-M1-ILSEN-cla-Gr1-Index-Education,Stat 4 = Info - C 131,UCE 1 TECHNIQUES DE TEST,SALAS Daniel,TP,,ILSEN-CLA
2024-01-29T15:00:00Z,2024-01-29T18:00:00Z,Cours-53326-32-M1-ILSEN-cla-Gr1-Index-Education,S4 = C 034,UCE 1 TECHNIQUES DE TEST,SALAS Daniel,CM,,ILSEN-CLA
2024-04-15T08:00:00Z,2024-04-15T09:30:00Z,Cours-53327-43-M1-ILSEN-cla-Gr1-Index-Education,Amphi Ada,UCE 1 TECHNIQUES DE TEST,SALAS Daniel,Evaluation,,ILSEN-CLA
2024-02-01T16:30:00Z,2024-02-01T18:00:00Z,Cours-53339-32-M1-ILSEN-cla-Gr1-Index-Education,S4 = C 034,UCE 1 SERVEURS D'APPLICATION,NABITZ Sophie,CM,,ILSEN-CLA
2024-02-07T16:30:00Z,2024-02-07T18:00:00Z,Cours-53340-33-M1-ILSEN-cla-Gr1-Index-Education,S4 = C 034,UCE 1 SERVEURS D'APPLICATION,NABITZ Sophie,CM,,ILSEN-CLA
2024-02-08T07:30:00Z,2024-02-08T09:00:00Z,Cours-53341-33-M1-ILSEN-cla-Gr1-Index-Education,S4 = C 034,UCE 1 SERVEURS D'APPLICATION,NABITZ Sophie,CM,,ILSEN-CLA
2024-02-01T09:00:00Z,2024-02-01T12:00:00Z,Cours-53344-32-M1-ILSEN-cla-Gr1-Index-Education,Stat 2 = Info - C 136,UCE 1 SERVEURS D'APPLICATION,NABITZ Sophie,TP,TP3,ILSEN-CLA
2024-02-01T13:30:00Z,2024-02-01T16:30:00Z,Cours-53345-32-M1-ILSEN-cla-Gr1-Index-Education,Stat 4 = Info - C 131,UCE 1 SERVEURS D'APPLICATION,NABITZ Sophie,TP,TP4,ILSEN-CLA
2024-01-31T13:30:00Z,2024-01-31T16:30:00Z,Cours-53351-32-M1-ILSEN-cla-Gr1-Index-Education,Stat 4 = Info - C 131,UCE 1 SERVEURS D'APPLICATION,NABITZ Sophie,TP,TP2,ILSEN-CLA
2024-02-07T13:30:00Z,2024-02-07T16:30:00Z,Cours-53352-33-M1-ILSEN-cla-Gr1-Index-Education,Stat 4 = Info - C 131,UCE 1 SERVEURS D'APPLICATION,NABITZ Sophie,TP,TP6,ILSEN-CLA
2024-01-31T09:00:00Z,2024-01-31T12:00:00Z,Cours-53353-32-M1-ILSEN-cla-Gr1-Index-Education,Stat 2 = Info - C 136,UCE 1 SERVEURS D'APPLICATION,NABITZ Sophie,TP,TP1,ILSEN-CLA
2024-02-07T09:00:00Z,2024-02-07T12:00:00Z,Cours-53354-33-M1-ILSEN-cla-Gr1-Index-Education,Stat 2 = Info - C 136,UCE 1 SERVEURS D'APPLICATION,NABITZ Sophie,TP,TP5,ILSEN-CLA
2024-02-08T09:00:00Z,2024-02-08T12:00:00Z,Cours-53362-33-M1-ILSEN-cla-Gr1-Index-Education,Stat 2 = Info - C 136,UCE 1 SERVEURS D'APPLICATION,NABITZ Sophie,TP,TP7,ILSEN-CLA
2024-02-08T13:30:00Z,2024-02-08T16:30:00Z,Cours-53364-33-M1-ILSEN-cla-Gr1-Index-Education,Stat 4 = Info - C 131,UCE 1 SERVEURS D'APPLICATION,NABITZ Sophie,TP,TP8,ILSEN-CLA
2024-01-31T16:30:00Z,2024-01-31T18:00:00Z,Cours-53400-32-M1-ILSEN-cla-Gr1-Index-Education,S4 = C 034,UCE 1 SERVEURS D'APPLICATION,NABITZ Sophie,CM,,ILSEN-CLA
2024-02-14T07:30:00Z,2024-02-14T09:00:00Z,Cours-53401-34-M1-ILSEN-cla-Gr1-Index-Education,S4 = C 034,UCE 2 MIDDLEWARE,NABITZ Sophie,CM,,ILSEN-CLA
2024-02-21T09:00:00Z,2024-02-21T12:00:00Z,Cours-53406-35-M1-ILSEN-cla-Gr1-Index-Education,Stat 2 = Info - C 136,UCE 1 SERVEURS D'APPLICATION,NABITZ Sophie,TP,TP9,ILSEN-CLA
2024-02-21T13:30:00Z,2024-02-21T16:30:00Z,Cours-53407-35-M1-ILSEN-cla-Gr1-Index-Education,Stat 4 = Info - C 131,UCE 1 SERVEURS D'APPLICATION,NABITZ Sophie,TP,TP10,ILSEN-CLA
2024-02-22T13:30:00Z,2024-02-22T16:30:00Z,Cours-53412-35-M1-ILSEN-cla-Gr1-Index-Education,Stat 3 = Info - C 135,UCE 2 MIDDLEWARE,NABITZ Sophie,TP,,ILSEN-CLA
2024-02-22T07:30:00Z,2024-02-22T12:00:00Z,Cours-53414-35-M1-ILSEN-cla-Gr1-Index-Education,Stat 3 = Info - C 135,UCE 2 MIDDLEWARE,NABITZ Sophie,TP,,ILSEN-CLA
2024-02-16T07:30:00Z,2024-02-16T12:00:00Z,Cours-53471-34-M1-ILSEN-cla-Gr1-Index-Education,Stat 6 = Info - C 129,UCE 2 MIDDLEWARE,BONNEFOY Ludovic,TP,,ILSEN-CLA
2024-03-08T12:00:00Z,2024-03-08T15:00:00Z,Cours-80842-37-M1-ILSEN-cla-Gr1-Index-Education,Stat 2 = Info - C 136,UCE 2 MIDDLEWARE,BONNEFOY Ludovic,Evaluation,,ILSEN-CLA
2024-03-07T07:30:00Z,2024-03-07T09:00:00Z,Cours-53493-37-M1-ILSEN-cla-Gr1-Index-Education,S5 = C 024,UCE 3 APPLICATIONS ORIENTEES,NABITZ Sophie,CM,,ILSEN-CLA
2024-03-07T12:00:00Z,2024-03-07T15:00:00Z,Cours-53503-37-M1-ILSEN-cla-Gr1-Index-Education,S5 = C 024,UCE 3 APPLICATIONS ORIENTEES,NABITZ Sophie,CM,,ILSEN-CLA
2024-02-15T09:00:00Z,2024-02-15T12:00:00Z,Cours-53506-34-M1-ILSEN-cla-Gr1-Index-Education,Stat 3 = Info - C 135,UCE 2 MIDDLEWARE,NABITZ Sophie,TP,,ILSEN-CLA
2024-03-14T07:30:00Z,2024-03-14T10:30:00Z,Cours-53510-38-M1-ILSEN-cla-Gr1-Index-Education,Stat 1 = Info - C 137,UCE 3 APPLICATIONS ORIENTEES,NABITZ Sophie,TP,,ILSEN-CLA
2024-03-21T13:30:00Z,2024-03-21T16:30:00Z,Cours-53511-39-M1-ILSEN-cla-Gr1-Index-Education,Stat 1 = Info - C 137,UCE 3 APPLICATIONS ORIENTEES,NABITZ Sophie,TP,,ILSEN-CLA
2024-03-28T13:30:00Z,2024-03-28T16:30:00Z,Cours-53511-40-M1-ILSEN-cla-Gr1-Index-Education,Stat 1 = Info - C 137,UCE 3 APPLICATIONS ORIENTEES,NABITZ Sophie,TP,,ILSEN-CLA
2024-03-28T09:00:00Z,2024-03-28T12:00:00Z,Cours-53514-40-M1-ILSEN-cla-Gr1-Index-Education,Stat 1 = Info - C 137,UCE 3 APPLICATIONS ORIENTEES,NABITZ Sophie,TP,,ILSEN-CLA
2024-04-04T08:00:00Z,2024-04-04T11:00:00Z,Cours-53514-41-M1-ILSEN-cla-Gr1-Index-Education,Stat 1 = Info - C 137,UCE 3 APPLICATIONS ORIENTEES,NABITZ Sophie,TP,,ILSEN-CLA
2024-04-04T12:30:00Z,2024-04-04T15:30:00Z,Cours-53517-41-M1-ILSEN-cla-Gr1-Index-Education,Stat 1 = Info - C 137,UCE 3 APPLICATIONS ORIENTEES,NABITZ Sophie,TP,,ILSEN-CLA
2024-03-20T09:00:00Z,2024-03-20T12:00:00Z,Cours-53582-39-M1-ILSEN-cla-Gr1-Index-Education,Stat 3 = Info - C 135,UCE 4 APPLICATION ARCHITECTUR,MORCHID Mohamed,TP,,ILSEN-CLA
2024-03-25T07:30:00Z,2024-03-25T10:30:00Z,Cours-53584-40-M1-ILSEN-cla-Gr1-Index-Education,Stat 1 = Info - C 137,UCE 4 APPLICATION ARCHITECTUR,MORCHID Mohamed,TP,,ILSEN-CLA
2024-04-02T06:30:00Z,2024-04-02T09:30:00Z,Cours-53585-41-M1-ILSEN-cla-Gr1-Index-Education,Stat 4 = Info - C 131,UCE 4 APPLICATION ARCHITECTUR,MORCHID Mohamed,TP,,ILSEN-CLA
2024-02-05T16:30:00Z,2024-02-05T18:00:00Z,Cours-53628-33-M1-ILSEN-cla-Gr1-Index-Education,S3 = C 036,UCE 2 ANGLAIS (ORIENTE TECHNI,RONDIN Lilian,TD,,ILSEN-CLA
2024-02-01T07:30:00Z,2024-02-01T09:00:00Z,Cours-53630-32-M1-ILSEN-cla-Gr1-Index-Education,S2 = C 040,UCE 2 ANGLAIS (ORIENTE TECHNI,RONDIN Lilian,TD,,ILSEN-CLA
2024-02-15T07:30:00Z,2024-02-15T09:00:00Z,Cours-53664-34-M1-ILSEN-cla-Gr1-Index-Education,S3 = C 036,UCE 2 ANGLAIS (ORIENTE TECHNI,RONDIN Lilian,TD,,ILSEN-CLA
2024-03-05T16:30:00Z,2024-03-05T18:00:00Z,Cours-53676-37-M1-ILSEN-cla-Gr1-Index-Education,S2 BIS = C 038,UCE 2 ANGLAIS (ORIENTE TECHNI,RONDIN Lilian,TD,,ILSEN-CLA
2024-03-13T07:30:00Z,2024-03-13T09:00:00Z,Cours-53695-38-M1-ILSEN-cla-Gr1-Index-Education,S4 = C 034,UCE 2 ANGLAIS (ORIENTE TECHNI,RONDIN Lilian,TD,,ILSEN-CLA
2024-04-02T09:30:00Z,2024-04-02T11:00:00Z,Cours-53710-41-M1-ILSEN-cla-Gr1-Index-Education,S2 BIS = C 038,UCE 2 ANGLAIS (ORIENTE TECHNI,RONDIN Lilian,TD,,ILSEN-CLA
2024-04-09T12:30:00Z,2024-04-09T14:00:00Z,Cours-53725-42-M1-ILSEN-cla-Gr1-Index-Education,S2 = C 040,UCE 2 ANGLAIS (ORIENTE TECHNI,RONDIN Lilian,TD,,ILSEN-CLA
2024-04-17T08:00:00Z,2024-04-17T09:30:00Z,Cours-53731-43-M1-ILSEN-cla-Gr1-Index-Education,S2 = C 040,UCE 2 ANGLAIS (ORIENTE TECHNI,RONDIN Lilian,TD,,ILSEN-CLA
2024-02-13T07:30:00Z,2024-02-13T09:00:00Z,Cours-53738-34-M1-ILSEN-cla-Gr1-Index-Education,S3 = C 036,UCE 2 ANGLAIS (ORIENTE TECHNI,RONDIN Lilian,TD,,ILSEN-CLA
2024-04-16T15:30:00Z,2024-04-16T17:00:00Z,Cours-53761-43-M1-ILSEN-cla-Gr1-Index-Education,S2 = C 040,UCE 2 ANGLAIS (ORIENTE TECHNI,RONDIN Lilian,TD,,ILSEN-CLA
2024-01-29T12:00:00Z,2024-01-29T13:30:00Z,Cours-53762-32-M1-ILSEN-cla-Gr1-Index-Education,S2 = C 040,UCE 2 ANGLAIS (ORIENTE TECHNI,RONDIN Lilian,TD,,ILSEN-CLA
2024-04-12T14:00:00Z,2024-04-12T15:30:00Z,Cours-53776-42-M1-ILSEN-cla-Gr1-Index-Education,S2 = C 040,UCE 2 ANGLAIS (ORIENTE TECHNI,RONDIN Lilian,TD,,ILSEN-CLA
2024-02-07T07:30:00Z,2024-02-07T09:00:00Z,Cours-53778-33-M1-ILSEN-cla-Gr1-Index-Education,S3 = C 036,UCE 2 ANGLAIS (ORIENTE TECHNI,RONDIN Lilian,TD,,ILSEN-CLA
2024-02-21T07:30:00Z,2024-02-21T09:00:00Z,Cours-53780-35-M1-ILSEN-cla-Gr1-Index-Education,S4 = C 034,UCE 2 ANGLAIS (ORIENTE TECHNI,RONDIN Lilian,TD,,ILSEN-CLA
2024-03-07T09:00:00Z,2024-03-07T10:30:00Z,Cours-53781-37-M1-ILSEN-cla-Gr1-Index-Education,S7 = C 032,UCE 2 ANGLAIS (ORIENTE TECHNI,RONDIN Lilian,TD,,ILSEN-CLA
2024-03-05T15:00:00Z,2024-03-05T16:30:00Z,Cours-53782-37-M1-ILSEN-cla-Gr1-Index-Education,S2 = C 040,UCE 2 ANGLAIS (ORIENTE TECHNI,RONDIN Lilian,TD,,ILSEN-CLA
2024-03-12T15:00:00Z,2024-03-12T16:30:00Z,Cours-53783-38-M1-ILSEN-cla-Gr1-Index-Education,S4 = C 034,UCE 2 ANGLAIS (ORIENTE TECHNI,RONDIN Lilian,TD,,ILSEN-CLA
2024-03-06T12:00:00Z,2024-03-06T13:30:00Z,Cours-53795-37-M1-ILSEN-cla-Gr1-Index-Education,S4 = C 034,UCE 2 ANGLAIS (ORIENTE TECHNI,RONDIN Lilian,TD,,ILSEN-CLA
2024-03-12T13:30:00Z,2024-03-12T15:00:00Z,Cours-53797-38-M1-ILSEN-cla-Gr1-Index-Education,S4 = C 034,UCE 2 ANGLAIS (ORIENTE TECHNI,RONDIN Lilian,TD,,ILSEN-CLA
2024-03-21T07:30:00Z,2024-03-21T09:00:00Z,Cours-53800-39-M1-ILSEN-cla-Gr1-Index-Education,S2 = C 040,UCE 2 ANGLAIS (ORIENTE TECHNI,RONDIN Lilian,TD,,ILSEN-CLA
2024-05-16T08:00:00Z,2024-05-16T09:30:00Z,Cours-53812-47-M1-ILSEN-cla-Gr1-Index-Education,S2 = C 040,UCE 2 ANGLAIS (ORIENTE TECHNI,RONDIN Lilian,TD,,ILSEN-CLA
2024-04-30T12:30:00Z,2024-04-30T14:00:00Z,Cours-53813-45-M1-ILSEN-cla-Gr1-Index-Education,S2 = C 040,UCE 2 ANGLAIS (ORIENTE TECHNI,RONDIN Lilian,TD,,ILSEN-CLA
2024-05-07T12:30:00Z,2024-05-07T14:00:00Z,Cours-53813-46-M1-ILSEN-cla-Gr1-Index-Education,S2 = C 040,UCE 2 ANGLAIS (ORIENTE TECHNI,RONDIN Lilian,TD,,ILSEN-CLA
2024-03-18T15:00:00Z,2024-03-18T18:00:00Z,Cours-53815-39-M1-ILSEN-cla-Gr1-Index-Education,Stat 1 = Info - C 137,UCE 4 APPLICATION ARCHITECTUR,MORCHID Mohamed,TP,,ILSEN-CLA
2024-03-19T07:30:00Z,2024-03-19T10:30:00Z,Cours-53816-39-M1-ILSEN-cla-Gr1-Index-Education,Stat 3 = Info - C 135,UCE 4 APPLICATION ARCHITECTUR,MORCHID Mohamed,TP,,ILSEN-CLA
2024-03-27T07:30:00Z,2024-03-27T10:30:00Z,Cours-53817-40-M1-ILSEN-cla-Gr1-Index-Education,Stat 1 = Info - C 137,UCE 4 APPLICATION ARCHITECTUR,MORCHID Mohamed,TP,,ILSEN-CLA
2024-03-29T07:30:00Z,2024-03-29T10:30:00Z,Cours-53818-40-M1-ILSEN-cla-Gr1-Index-Education,Stat 1 = Info - C 137,UCE 4 APPLICATION ARCHITECTUR,MORCHID Mohamed,TP,,ILSEN-CLA
2024-04-03T06:30:00Z,2024-04-03T09:30:00Z,Cours-53819-41-M1-ILSEN-cla-Gr1-Index-Education,Stat 4 = Info - C 131,UCE 4 APPLICATION ARCHITECTUR,MORCHID Mohamed,TP,,ILSEN-CLA
2024-03-26T15:00:00Z,2024-03-26T18:00:00Z,Cours-53820-40-M1-ILSEN-cla-Gr1-Index-Education,Stat 4 = Info - C 131,UCE 4 APPLICATION ARCHITECTUR,MORCHID Mohamed,TP,,ILSEN-CLA
2024-03-19T16:30:00Z,2024-03-19T18:00:00Z,Cours-53822-39-M1-ILSEN-cla-Gr1-Index-Education,Stat 4 = Info - C 131,UCE 4 APPLICATION ARCHITECTUR,MORCHID Mohamed,TP,,ILSEN-CLA
2024-02-13T12:00:00Z,2024-02-13T15:00:00Z,Cours-53841-34-M1-ILSEN-cla-Gr1-Index-Education,S6 = C 022,UCE 2 PROTOTYPAGE ET INTERFAC,CARIAS Patrick,CM,,ILSEN-CLA
2024-01-30T07:30:00Z,2024-01-30T09:00:00Z,Cours-53842-32-M1-ILSEN-cla-Gr1-Index-Education,S6 = C 022,UCE 2 PROTOTYPAGE ET INTERFAC,CARIAS Patrick,CM,,ILSEN-CLA
2024-02-02T07:30:00Z,2024-02-02T09:00:00Z,Cours-53843-32-M1-ILSEN-cla-Gr1-Index-Education,S5 = C 024,UCE 2 PROTOTYPAGE ET INTERFAC,CECILLON Noe,CM,,ILSEN-CLA
2024-02-09T07:30:00Z,2024-02-09T09:00:00Z,Cours-53843-33-M1-ILSEN-cla-Gr1-Index-Education,S5 = C 024,UCE 2 PROTOTYPAGE ET INTERFAC,CECILLON Noe,CM,,ILSEN-CLA
2024-02-12T13:30:00Z,2024-02-12T16:30:00Z,Cours-53871-34-M1-ILSEN-cla-Gr1-Index-Education,Stat 6 = Info - C 129,UCE 2 PROTOTYPAGE ET INTERFAC,AMALVY Arthur,TP,,ILSEN-CLA
2024-03-18T12:00:00Z,2024-03-18T15:00:00Z,Cours-53872-39-M1-ILSEN-cla-Gr1-Index-Education,Stat 5 = Info - C 130,UCE 2 PROTOTYPAGE ET INTERFAC,AMALVY Arthur,TP,,ILSEN-CLA
2024-02-19T07:30:00Z,2024-02-19T10:30:00Z,Cours-53875-35-M1-ILSEN-cla-Gr1-Index-Education,Stat 1 = Info - C 137,UCE 2 PROTOTYPAGE ET INTERFAC,AMALVY Arthur,TP,,ILSEN-CLA
2024-03-13T13:30:00Z,2024-03-13T16:30:00Z,Cours-53880-38-M1-ILSEN-cla-Gr1-Index-Education,Stat 5 = Info - C 130,UCE 2 PROTOTYPAGE ET INTERFAC,AMALVY Arthur,TP,,ILSEN-CLA
2024-03-26T12:00:00Z,2024-03-26T13:30:00Z,Cours-53887-40-M1-ILSEN-cla-Gr1-Index-Education,Stat 1 = Info - C 137,UCE 2 PROTOTYPAGE ET INTERFAC,AMALVY Arthur,TP,,ILSEN-CLA
2024-01-30T09:00:00Z,2024-01-30T12:00:00Z,Cours-53898-32-M1-ILSEN-cla-Gr1-Index-Education,S6 = C 022,UCE 3 PROCESSUS DU DEVELOPPEM,SALAS Daniel,CM,,ILSEN-CLA
2024-02-02T09:00:00Z,2024-02-02T12:00:00Z,Cours-53899-32-M1-ILSEN-cla-Gr1-Index-Education,S5 = C 024,UCE 3 PROCESSUS DU DEVELOPPEM,SALAS Daniel,CM,,ILSEN-CLA
2024-02-06T07:30:00Z,2024-02-06T10:30:00Z,Cours-53924-33-M1-ILSEN-cla-Gr1-Index-Education,Stat 3 = Info - C 135,UCE 3 PROCESSUS DU DEVELOPPEM,SALAS Daniel,TP,,ILSEN-CLA
2024-03-25T12:00:00Z,2024-03-25T13:30:00Z,Cours-53935-40-M1-ILSEN-cla-Gr1-Index-Education,Stat 3 = Info - C 135,UCE 3 PROCESSUS DU DEVELOPPEM,SALAS Daniel,Evaluation,,ILSEN-CLA
2024-02-15T13:30:00Z,2024-02-15T16:30:00Z,Cours-53938-34-M1-ILSEN-cla-Gr1-Index-Education,Stat 6 = Info - C 129,UCE 3 PROCESSUS DU DEVELOPPEM,SALAS Daniel,TP,,ILSEN-CLA
2024-02-23T13:30:00Z,2024-02-23T16:30:00Z,Cours-53943-35-M1-ILSEN-cla-Gr1-Index-Education,Stat 2 = Info - C 136,UCE 3 PROCESSUS DU DEVELOPPEM,SALAS Daniel,TP,,ILSEN-CLA
2024-03-04T15:00:00Z,2024-03-04T18:00:00Z,Cours-53945-37-M1-ILSEN-cla-Gr1-Index-Education,Stat 4 = Info - C 131,UCE 3 PROCESSUS DU DEVELOPPEM,SALAS Daniel,TP,,ILSEN-CLA
2024-03-11T12:00:00Z,2024-03-11T15:00:00Z,Cours-53947-38-M1-ILSEN-cla-Gr1-Index-Education,Stat 6 = Info - C 129,UCE 3 PROCESSUS DU DEVELOPPEM,SALAS Daniel,TP,,ILSEN-CLA
2024-03-20T13:30:00Z,2024-03-20T16:30:00Z,Cours-53956-39-M1-ILSEN-cla-Gr1-Index-Education,Stat 6 = Info - C 129,UCE 3 PROCESSUS DU DEVELOPPEM,SALAS Daniel,TP,,ILSEN-CLA
2024-05-07T08:00:00Z,2024-05-07T11:00:00Z,Cours-54312-46-M1-ILSEN-cla-Gr1-Index-Education,Stat 1 = Info - C 137,UCE 1 VEILLE TECHNOLOGIQUE,LEFEVRE Fabrice,TP,,ILSEN-CLA
2023-11-23T09:00:00Z,2023-11-23T12:00:00Z,Cours-56794-22-M1-ILSEN-cla-Gr1-Index-Education,Stat 6 = Info - C 129,UCE 4 APPLICATION DE MSI,MARTIN Yannis,Evaluation,,ILSEN-CLA
2024-02-09T15:00:00Z,2024-02-09T18:00:00Z,Cours-73708-33-M1-ILSEN-cla-Gr1-Index-Education,S6 = C 022,UCE 2 MIDDLEWARE,BONNEFOY Ludovic,CM,,ILSEN-CLA
2024-02-10T12:00:00Z,2024-02-10T13:30:00Z,Cours-73710-33-M1-ILSEN-cla-Gr1-Index-Education,Amphi Ada,UCE 2 MIDDLEWARE,BONNEFOY Ludovic,CM,,ILSEN-CLA
2024-01-29T07:30:00Z,2024-01-29T10:30:00Z,Cours-73701-32-M1-ILSEN-cla-Gr1-Index-Education,S6 = C 022,UCE 2 MIDDLEWARE,BONNEFOY Ludovic,CM,,ILSEN-CLA
2024-01-08T09:00:00Z,2024-01-08T10:30:00Z,Cours-62796-29-M1-ILSEN-cla-Gr1-Index-Education,S3 = C 036,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,TP,,ILSEN-CLA
2024-01-15T07:30:00Z,2024-01-15T18:00:00Z,Cours-62797-30-M1-ILSEN-cla-Gr1-Index-Education,S3 = C 036,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,Evaluation,,ILSEN-CLA
2024-01-16T12:00:00Z,2024-01-16T18:00:00Z,Cours-62801-30-M1-ILSEN-cla-Gr1-Index-Education,S3 = C 036,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,Evaluation,,ILSEN-CLA
2024-01-17T07:30:00Z,2024-01-17T18:00:00Z,Cours-62806-30-M1-ILSEN-cla-Gr1-Index-Education,S3 = C 036,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,Evaluation,,ILSEN-CLA
2024-03-21T09:00:00Z,2024-03-21T12:00:00Z,Cours-63390-39-M1-ILSEN-cla-Gr1-Index-Education,Stat 1 = Info - C 137,UCE 3 APPLICATIONS ORIENTEES,NABITZ Sophie,TP,,ILSEN-CLA
